ID Year,Year,ID State,State,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Slug State
2016,"2016","04000US01","Alabama","true","true","254021","Librarians",39547.742150706435,10101.202451347612,"alabama"
2016,"2016","04000US02","Alaska","true","true","254021","Librarians",63882.80753138076,29508.953109320504,"alaska"
2016,"2016","04000US04","Arizona","true","true","254021","Librarians",35707.28883071553,12060.327598245178,"arizona"
2016,"2016","04000US05","Arkansas","true","true","254021","Librarians",41956.142394822,11920.49493076951,"arkansas"
2016,"2016","04000US06","California","true","true","254021","Librarians",45656.58446662508,6105.689954352743,"california"
2016,"2016","04000US08","Colorado","true","true","254021","Librarians",33266.64401097227,9475.332765172829,"colorado"
2016,"2016","04000US09","Connecticut","true","true","254021","Librarians",50340.48623853211,13179.99074036898,"connecticut"
2016,"2016","04000US10","Delaware","true","true","254021","Librarians",52495.9429065744,28894.843209979754,"delaware"
2016,"2016","04000US11","District of Columbia","true","true","254021","Librarians",66669.42960288809,29943.63610181039,"district-of-columbia"
2016,"2016","04000US12","Florida","true","true","254021","Librarians",40071.36679479598,6737.981586245155,"florida"
2016,"2016","04000US13","Georgia","true","true","254021","Librarians",46411.984930539205,14248.670810996717,"georgia"
2016,"2016","04000US15","Hawaii","true","true","254021","Librarians",55235.43982808023,23574.582451812432,"hawaii"
2016,"2016","04000US16","Idaho","true","true","254021","Librarians",25638.44567219153,12644.435692702955,"idaho"
2016,"2016","04000US17","Illinois","true","true","254021","Librarians",39729.246978513875,7234.863874038748,"illinois"
2016,"2016","04000US18","Indiana","true","true","254021","Librarians",36568.75938189845,8654.953014753815,"indiana"
2016,"2016","04000US19","Iowa","true","true","254021","Librarians",32140.771332694152,12602.112378228438,"iowa"
2016,"2016","04000US20","Kansas","true","true","254021","Librarians",34597.08359550562,11718.341781599182,"kansas"
2016,"2016","04000US21","Kentucky","true","true","254021","Librarians",39071.65183840218,10971.56153856846,"kentucky"
2016,"2016","04000US22","Louisiana","true","true","254021","Librarians",39266.50791936645,8733.49072867155,"louisiana"
2016,"2016","04000US23","Maine","true","true","254021","Librarians",33432.070806100215,17807.408489453614,"maine"
2016,"2016","04000US24","Maryland","true","true","254021","Librarians",59016.53375,11664.671366404009,"maryland"
2016,"2016","04000US25","Massachusetts","true","true","254021","Librarians",44411.83943894389,8584.256844014995,"massachusetts"
2016,"2016","04000US26","Michigan","true","true","254021","Librarians",37246.71748586342,8838.145986263846,"michigan"
2016,"2016","04000US27","Minnesota","true","true","254021","Librarians",42853.248773651016,13741.004626761907,"minnesota"
2016,"2016","04000US28","Mississippi","true","true","254021","Librarians",35608.723634053364,10070.870807203975,"mississippi"
2016,"2016","04000US29","Missouri","true","true","254021","Librarians",40101.610088070454,15641.949746715822,"missouri"
2016,"2016","04000US30","Montana","true","true","254021","Librarians",34521.88988764045,20846.2427334576,"montana"
2016,"2016","04000US31","Nebraska","true","true","254021","Librarians",30722.744604316547,17577.269472739845,"nebraska"
2016,"2016","04000US32","Nevada","true","true","254021","Librarians",49248.26097867001,23104.418794467758,"nevada"
